Model,Dataset,Paper_QENN,Reproduced,Abs_Gap,Rel_Gap_%
QENN-Qiskit,BSE,0.23782,0.3595484448113886,0.12172844481138859,51.1851168158223
QENN-Qiskit,NASDAQ,0.2183,0.3399525988643497,0.1216525988643497,55.727255549404354
QENN-Qiskit,HSI,0.29263,0.3070773278781621,0.014447327878162108,4.9370631439572525
QENN-Qiskit,SSE,0.22984,0.6114289476283645,0.38158894762836454,166.02373286998107
QENN-Qiskit,Russell2000,0.25729,0.3489338414167536,0.09164384141675358,35.618889741829676
QENN-Qiskit,TAIEX,0.10163,0.4413310747090579,0.3397010747090579,334.25275480572463
QENN-QSharp,BSE,0.23782,0.2674826049134368,0.02966260491343678,12.472712519315776
QENN-QSharp,NASDAQ,0.2183,0.2403289145521893,0.022028914552189305,10.091119813187955
QENN-QSharp,HSI,0.29263,0.2252815214165487,0.0673484785834513,23.014892042323513
QENN-QSharp,SSE,0.22984,0.4996617441939071,0.2698217441939071,117.39546823612388
QENN-QSharp,Russell2000,0.25729,0.2561938968098615,0.001096103190138531,0.4260185744251742
QENN-QSharp,TAIEX,0.10163,0.3200449605897392,0.2184149605897392,214.91189667395375
